nomecategoria,objetofoco,descricaoregra
Boas Práticas,Geral/Nenhum,Obs.: Qualquer dúvida em relação a estas dicas de programação no banco de dados conversar com o DBA.
Boas Práticas,Geral/Nenhum,Split da procedure:
Boas Práticas,Geral/Nenhum,"Algumas vezes o sybase não consegue usar as estatísticas para uma variável inicializada em tempo de execução, implicando em perda de performance. Então, a forma de resolver esse problema é fazer um split de procedure, que significa dividir a procedure em duas, como o exemplo que segue:"
Boas Práticas,Geral/Nenhum,"Not null x null: Deve ser aplicado caso a caso também, já que o campo null é tratado como tipo variável. Lembrando que em muitas situações podemos usar um valor default, para aplicação do campo not null;"
Boas Práticas,Geral/Nenhum,"Varchar x char: Deve ser aplicado caso a caso. Sendo o dado de tamanho fixo e not null, deve-se usar o tipo char. Outra característica que devemos analisar é se o dado sofrerá muitas atualizações. Caso seja verdade, ele é um forte candidato a ser do tipo char, para se ter ganho de performance. O tipo varchar deve ser utilizado visando economizar em área de armazenamento;"
Boas Práticas,Geral/Nenhum,"Evitar cláusula NOT EXISTS, NOT IN e NOT LIKE. Usar se possível EXISTS, IN e LIKE;"
Boas Práticas,Geral/Nenhum,"Dar preferência a construções do tipo: SELECT iCol, iCol2 from Table WHERE iCol >= 10 a construções do tipo: SELECT iCol, iCol2 from Table WHERE iCol > 9;"
Boas Práticas,Geral/Nenhum,Evitar a utilização de convert na cláusula where;
Boas Práticas,Geral/Nenhum,"Evitar join com mais de 4 tabelas, quando for necessário, utilizar tabelas temporárias;"
Boas Práticas,Geral/Nenhum,Atributos de imagem usar tipo IMAGE;
Boas Práticas,Geral/Nenhum,"Atributos com conteúdo alfanumérico com mais de 255 caracteres, usar tipo Varchar, preferencialmente;"
Boas Práticas,Geral/Nenhum,"Atributos de data / hora usar SMALLDATETIME ou DATETIME dependendo da precisão necessária para o cálculo de horas, bem como da faixa de valores de cada;"
Boas Práticas,Geral/Nenhum,"Atributos de quantidade escolher entre os tipos a seguir, dependendo da faixa de valor: TINYINT, SMALLINT, INT;"
Boas Práticas,Geral/Nenhum,Devem ser evitados tipos de dados definidos pelos usuários;
Boas Práticas,Geral/Nenhum,"Preservar a cláusula abaixo no script, antes do cabeçalho, a fim de agilizar a criação de procedures e triggers armazenadas no repositório."
Boas Práticas,Geral/Nenhum,Preferencialmente não utilizar a estrutura de programação cursor;
Boas Práticas,Geral/Nenhum,"Integridade referencial deve ser implementada através de constraints (Primary Key, Unique e Foreign);"
Boas Práticas,Geral/Nenhum,"Todos os comandos SQL utilizados por programas devem ser realizados, obrigatoriamente, através de Stored Procedure, exceto updates e inserts para colunas dos tipos texto e imagem;"
Boas Práticas,Geral/Nenhum,"Para programação nos objetos de dados (procedures, triggers, ...):"
Nomenclatura de Objetos,Procedure,"O prefixo sp é necessário para que seja possível a pesquisa da mesma, sem a indicação do banco"
Nomenclatura de Objetos,Procedure,"Obs.: Todas as funções ficarão armazenadas no banco sybsystemprocs, que é o banco padrão de armazenamento de procedure de sistema, como por exemplo: sp_help, sp_who, etc."
Nomenclatura de Objetos,Procedure,"Prefixo p_f_nomedobanco: identifica uma função que referencia objeto de banco (tabela, procedure, view, etc) pertencente ao respectivo banco (sugestão: retirar o prefixo db do nome do banco, ex: sp_f_arrec) Objetivo: usar um substantivo que indique a finalidade a função Complemento: Opcional. Caso o objetivo não seja suficiente para traduzir a finalidade da função, acrescenta-se um complemento / descrição para melhor definição da mesma."
Nomenclatura de Objetos,Procedure,sp_f_Nomedobanco_Objetivo[Complemento] ➡ Roda apenas de um banco de dados específico.
Nomenclatura de Objetos,Procedure,"Prefixo sp_f identifica uma função para manipular strings e/ou números ou objetos de sistema, que são comuns a todos os bancos."
Nomenclatura de Objetos,Procedure,"sp_f_Objetivo[Complemento] ➡ Função Global, ou seja roda de qualquer banco."
Nomenclatura de Objetos,Procedure,Atributos Tipos de Dados Pessoas Varchar(50) E-mail Varchar(60) Telefone Varchar(10) Fax Varchar(10) Logradouro Varchar(60) Complemento Varchar(65) CEP Numeric(8) Bairro Varchar(60) Município Varchar(60) País Varchar(60) CGC Char(14) CPF Char(11) Login Varchar(30) 4.1 Função de Usuário:
Nomenclatura de Objetos,Procedure,"Tipos de dados Faixa de valores Espaço ocupado Bit 0 ou 1 1 byte Int - 2.147.483.648 a 2.147.483.647 4 bytes Smallint - 32.768 a 32.767 2 bytes Tinyint 0 a 255 1 byte Text Até 2.147.483.647 bytes Image Até 2.147.483.647 bytes Char(n) Range igual à página do servidor N bytes 2K = 1948 caracteres (lock allpage) e 1954 (lock datarow) Varchar(n) Range igual à página do servidor N bytes 2K = 1948 caracteres (lock allpage) e 1954 (lock datarow) Numeric(p,s) - 10E38 a 10E38 - 1 Depende da precisão (P) Datetime 1/1/1753 a 31/12/9999 8 bytes precisão: milissegundos Smalldatetime 1/1/1900 a 6/6/2079 4 bytes precisão: minutos Float Depende da máquina 4 ou 8 bytes Double precision Depende da máquina 8 bytes Real Depende da máquina 4 bytes Binary(n) Range igual à página do servidor N bytes 2K = 1948 caracteres (lock allpage) e 1954 (lock datarow) Money 922.337.203.685.477,5807 a 8 bytes 922.337.203.685.477,5807 Smallmoney 214.748.3648 a 214.748.3648 4 bytes Atributos de Uso Comum:"
Nomenclatura de Objetos,Procedure,Usar uma trigger para cada evento.
Nomenclatura de Objetos,Procedure,"Usar o prefixo “tg” seguido do nome da tabela onde está sendo disparada ação e da sigla do evento (I = Inserir, A = Alterar, E = Excluir)."
Nomenclatura de Objetos,Procedure,"Evitar o aninhamento excessivo de comandos, o que costuma dificultar a manutenção do código. Dar preferência à codificação mais longa, porém mais clara, desde que não prejudique a performance."
Nomenclatura de Objetos,Procedure,"Caso seja necessário, usar duas, três ou mais letras para diferenciar os alias."
Nomenclatura de Objetos,Procedure,"Tratando-se nome de tabela composto, usar as primeiras letras das palavras;"
Nomenclatura de Objetos,Procedure,"Quando houver join, as colunas devem ser prefixadas de preferência com a primeira letra do nome da tabela;"
Nomenclatura de Objetos,Procedure,"Utilização das palavras reservadas SQL em letras maiúsculas, inclusive os tipos de dados (WHERE, FROM, NUMERIC, etc...);"
Nomenclatura de Objetos,Procedure,"Ao longo da procedure, inserir comentários sempre que necessário. Comentários adicionais que auxiliem a compreensão de problemas complexos. Não poluir o código com comentários desnecessários, que descrevem procedimentos óbvios;"
Nomenclatura de Objetos,Procedure,"Indentar o código de modo a tornar a codificação clara e facilitar o trabalho de manutenção, pode-se usar para indentar a ferramenta SQL Expert;"
Nomenclatura de Objetos,Procedure,"Identificar as alterações efetuadas na área apropriada, para permitir fácil localização de problemas no código;"
Nomenclatura de Objetos,Procedure,** *************************************************************************************/ ...
Nomenclatura de Objetos,Procedure,** CRIADA POR: Nome do desenvolvedor ** DATA: 01/08/03 ** OBJETIVO: Seleciona processos cadastrados a partir de uma determinada data.
Nomenclatura de Objetos,Procedure,"Colocar a data de criação e o responsável pela criação da procedure (quem alterar a procedure deve acrescentar o nome do responsável pela alteração, a data e o objetivo da alteração);"
Nomenclatura de Objetos,Procedure,Fazer uma descrição clara e objetiva da função da procedure;
Nomenclatura de Objetos,Procedure,"Outros Bancos: dbvcen..binConsultaVeiculoS_EV02, dbvcen..Transacaobin920, dbinfracao..rnfCodRetornoS… Quando a procedure for executada via processamento batch, deve-se colocar no início do nome da procedure a palavra “Batch”."
Nomenclatura de Objetos,Procedure,"Banco RENAVAM: DetranResp206, PartResp206, rnvDetranResp206..."
Nomenclatura de Objetos,Procedure,No sistema de Habilitação as procedures de envio do RENACH ficarão iguais às procedures já existentes do RENACH.
